date,home_team,away_team,home_team_score,away_team_score
2019-08-09,Liverpool,Norwich City,4,1
2019-08-10,West Ham United,Manchester City,0,5
2019-08-10,Bournemouth,Sheffield United,1,1
2019-08-10,Burnley,Southampton,3,0
2019-08-10,Crystal Palace,Everton,0,0
2019-08-10,Watford,Brighton and Hove Albion,0,3
2019-08-10,Tottenham Hotspur,Aston Villa,3,1
2019-08-11,Leicester City,Wolverhampton Wanderers,0,0
2019-08-11,Newcastle United,Arsenal,0,1
2019-08-11,Manchester United,Chelsea,4,0
2019-08-17,Arsenal,Burnley,2,1
2019-08-17,Aston Villa,Bournemouth,1,2
2019-08-17,Brighton and Hove Albion,West Ham United,1,1
2019-08-17,Everton,Watford,1,0
2019-08-17,Norwich City,Newcastle United,3,1
2019-08-17,Southampton,Liverpool,1,2
2019-08-17,Manchester City,Tottenham Hotspur,2,2
2019-08-18,Sheffield United,Crystal Palace,1,0
2019-08-18,Chelsea,Leicester City,1,1
2019-08-19,Wolverhampton Wanderers,Manchester United,1,1
2019-08-23,Aston Villa,Everton,2,0
2019-08-24,Norwich City,Chelsea,2,3
2019-08-24,Brighton and Hove Albion,Southampton,0,2
2019-08-24,Manchester United,Crystal Palace,1,2
2019-08-24,Sheffield United,Leicester City,1,2
2019-08-24,Watford,West Ham United,1,3
2019-08-24,Liverpool,Arsenal,3,1
2019-08-25,Bournemouth,Manchester City,1,3
2019-08-25,Tottenham Hotspur,Newcastle United,0,1
2019-08-25,Wolverhampton Wanderers,Burnley,1,1
